id,x,y,count
80,479.756719207,-469.574163294,763
80,506.508220333,-506.181480625,763
81,471.603281808,-248.049881935,944
81,460.206037305,-240.31101221,944
82,460.74907367,-538.564876725,1064
82,434.701559416,-494.917690677,1064
83,92.5944703654,-338.799264652,320
83,113.671633184,-386.97563681,320
84,284.078456276,-408.669138624,114
84,257.899647331,-362.887450731,114
85,183.226270487,-228.294711015,834
85,208.217763544,-213.841799368,834
86,440.908911456,-254.404400196,640
86,417.712607182,-229.335887874,640
87,524.514915463,-264.870710157,196
87,544.655718688,-254.512582784,196
88,256.394135701,-188.248101659,341
88,283.49334504,-174.096292338,341
89,496.720434005,-343.004552958,196
89,470.719932017,-307.52929177,196
90,313.615817477,-567.428338466,132
90,286.160329479,-583.620036516,132
91,363.59888537,-320.328946485,1898
91,380.4478455,-353.216191597,1898
92,35.6861307541,-196.678966787,178
92,60.6776238109,-185.237078399,178
93,499.468351616,-512.51736247,196
93,511.436128436,-543.492784827,196
94,208.217763544,-213.841799368,400
94,232.004847297,-258.70604594,400
95,238.289222201,-555.460561647,566
95,262.928762711,-540.67683734,566
96,356.963186107,-366.952501807,1362
96,380.4478455,-353.216191597,1362
97,386.830452138,-524.48513929,626
97,410.766005777,-510.405401855,626
98,135.049898329,-255.69502268,143
98,159.74028906,-300.860371578,143
99,359.37496414,-483.653900729,598
99,334.735423629,-440.006714681,598
100,204.497852357,-577.28415467,279
100,238.289222201,-555.460561647,279
101,84.7658098897,-226.262270315,840
101,108.552893643,-213.314870298,840
102,418.509861366,-259.082088644,804
102,424.576692792,-254.149209279,804
103,288.272290094,-525.893113033,370
103,263.632749583,-483.653900729,370
104,232.305949623,-145.792673695,384
104,208.950231424,-102.411193215,384
105,313.615817477,-567.428338466,647
105,337.551371116,-555.460561647,647
106,438.221493775,-556.164548518,196
106,460.045086799,-601.21970831,196
107,232.305949623,-145.792673695,738
107,259.706261287,-131.339762048,738
108,188.646112355,-465.262241566,486
108,162.75131232,-420.096892668,486
109,113.671633184,-386.97563681,221
109,136.254307633,-374.329339118,221
110,233.811461252,-376.738157726,469
110,209.121070522,-332.777218132,469
111,460.206037305,-240.31101221,203
111,440.908911456,-254.404400196,203
